situation_lemmatized,situation_lemmatized_lowered
I Girl's Bosom Buddy Appears to Be Breaking Their Bond.,I girl's bosom buddy appear to be break their bond.
Couple Feels Taken for a Ride by Free-Loading Friends.,I couple feel take for a ride by free-loading friend.
I Parents' View of Gays Leads Unhappy Son to Take His Life.,I parents' view of gay lead unhappy son to take his life.
Friend Fears for Family Living in Piles of Clutter.,Friend fear for family living in pile of clutter.
I Couple's Future Hinges on Woman's Ability to Resolve Past Anger.,I couple's future hinge on woman's ability to resolve past anger.
I Back Seat Driver Is Turning Husband Into Nervous Wreck.,I back seat driver be turn husband into nervous wreck.
"I Daughter Starts Smoking, and Grandma Is to Blame.","I daughter start smoking, and grandma be to blame."
I Wife's Idle Hands Are Busy Shopping Away Her Boredom.,I wife's idle hand be busy shop away her boredom.
I Help Was Hard Find For Man Abused By Wife.,I help be hard find for man abuse by wife.
I Help Was Hard Find For Man Abused By Wife.,I help be hard find for man abuse by wife.
I Lawyer's Wife Registers Complaint Against Secretary's  Sexting.,I lawyer's wife register complaint against secretary's  sexting.
I Lawyer's Wife Registers Complaint Against Secretary's  Sexting.,I lawyer's wife register complaint against secretary's  sexting.
I Lawyer's Wife Registers Complaint Against Secretary's  Sexting.,I lawyer's wife register complaint against secretary's  sexting.
Neighbor's Frustrations Spill Over in Driveway Conversation.,I neighbor's frustration spill over in driveway conversation.
I Father Refuses to Condone Teen Drinking Party at Home.,I father refuse to condone teen drink party at home.
I Son Placed for Adoption Kept Secret From Fiance's Family.,I son place for adoption keep secret from fiance's family.
I Son Placed for Adoption Kept Secret From Fiance's Family.,I son place for adoption keep secret from fiance's family.
"I Sales Reps Are Friendly, Not Friends.","I sale rep be friendly, not friend."
Kiss Shared With a Co-Worker Puts Marriage on Shakier Ground.,I kiss share with a co-worker put marriage on shaky ground.
I Teen With Traffic Violations May Get Ticket Only to Ride.,I teen with traffic violation may get ticket only to ride.
Single Man Falls Off Friends' Radar After They Get Married.,I single man fall off friends' radar after they get married.
Single Man Falls Off Friends' Radar After They Get Married.,I single man fall off friends' radar after they get married.
I New Mother's Best Friend Is Poaching on Her Territory.,I new mother's best friend be poach on her territory.
Sister With Money Woes Profits Not From Advice.,Sister with money woe profit not from advice.
Life Imitates Cartoon In Neighbor's Borrowing Habits.,I life imitates cartoon in neighbor's borrowing habit.
Husband's Long Hours Make Married Life Lonely for Wife.,I husband's long hour make married life lonely for wife.
I Angry Husband Leaves Wife Stranded.,I angry husband leave wife strand.
I Angry Husband Leaves Wife Stranded.,I angry husband leave wife strand.
I Man Pays for One Night Stand With Seven Year Punishment.,I man pay for one night stand with seven year punishment.
I Boyfriend's Loving Attention Is Dangerous Need to Control.,I boyfriend's love attention be dangerous need to control.
I Woman Is Right to Question Why Boyfriend Thinks She's Always Wrong.,I woman be right to question why boyfriend think she's always wrong.
I Woman Is Right to Question Why Boyfriend Thinks She's Always Wrong.,I woman be right to question why boyfriend think she's always wrong.
Daily Calls From Home Keep Junior Under Parents' Thumb.,I daily call from home keep junior under parents' thumb.
Daily Calls From Home Keep Junior Under Parents' Thumb.,I daily call from home keep junior under parents' thumb.
I Boyfriend Fights Woman's Effort to End Her 10-Year Obsession.,I boyfriend fight woman's effort to end her 10-year obsession.
I Happily Married Woman Still Misses Lover Who Never Was.,I happily marry woman still miss lover who never be.
Wife Gets Hot as Dinner Cools Down Waiting for Tardy Husband.,I wife get hot as dinner cool down wait for tardy husband.
Wife Gets Hot as Dinner Cools Down Waiting for Tardy Husband.,I wife get hot as dinner cool down wait for tardy husband.
I Attentive Parents Can Prevent Kids Being Left Alone in Cars.,I attentive parent can prevent kid be leave alone in car.
I Affair With Sister's Boyfriend Gives Both Pleasure and Pain.,I affair with sister's boyfriend give both pleasure and pain.
I Affair With Sister's Boyfriend Gives Both Pleasure and Pain.,I affair with sister's boyfriend give both pleasure and pain.
Church Usher's Greeting Leaves Girl and Family at a Loss for Words.,I church usher's greet leaf girl and family at a loss for word.
I Parents 'Forget' One Son's Birthday -- Again.,Parent 'forget' one son's birthday -- again.
Ex Wife Is Caught Unaware in Couple's Snare of Deceit.,I ex wife be catch unaware in couple's snare of deceit.
Ex Wife Is Caught Unaware in Couple's Snare of Deceit.,I ex wife be catch unaware in couple's snare of deceit.
I Father Opposed to Wedding Is Brought to His Senses by Wife.,I father oppose to wedding be bring to his sens by wife.
I Girlfriend Grows to Resent Parenting Man's 10-Year-Old Son.,I girlfriend grow to resent parent man's 10-year-old son.
I Girlfriend Grows to Resent Parenting Man's 10-Year-Old Son.,I girlfriend grow to resent parent man's 10-year-old son.
Man Makes Hasty Childrearing Decision With Sister.,I man make hasty childrearing decision with sister.
I Teen Tries to Distance Herself From Friend She Can't Avoid.,I teen try to distance herself from friend she can't avoid.
Dad Sees Trouble Ahead For Mom With Unemployed Boyfriend.,Dad see trouble ahead for mom with unemployed boyfriend.
I Husband's Longtime Friendship Is Now Forbidden by His Wife.,I husband's longtime friendship be now forbid by his wife.
I Young Woman Wonders How To Tell Parents About First Boyfriend.,I young woman wonder how to tell parent about first boyfriend.
I Young Woman Wonders How To Tell Parents About First Boyfriend.,I young woman wonder how to tell parent about first boyfriend.
I Grim Prognosis Prompts Wife to Start Planning for Her Future.,I grim prognosis prompt wife to start planning for her future.
I Grim Prognosis Prompts Wife to Start Planning for Her Future.,I grim prognosis prompt wife to start planning for her future.
Unruly Stepson Forces Wife to Issue Ultimatum.,I unruly stepson force wife to issue ultimatum.
I Man's Silence May Say More Than Girlfriend Wants to Hear.,I man's silence may say more than girlfriend want to hear.
I Sharing Bed With Infant Can Lead to Sleep-Related Death.,I share bed with infant can lead to sleep-related death.
Toddler's Potty Mouth Is Reflection of Mother's Habits.,I toddler's potty mouth be reflection of mother's habit.
Sudden End to Long Friendship Becomes Neighborhood Gossip.,I sudden end to long friendship become neighborhood gossip.
Sudden End to Long Friendship Becomes Neighborhood Gossip.,I sudden end to long friendship become neighborhood gossip.
I Think Twice Before Confronting Drivers in Handicapped Spots.,I think twice before confront driver in handicapped spot.
I Boss Obsessed With Porn Hijacks Worker's Computer.,I bos obsess with porn hijack worker's computer.
Woman's Texting Enrages Theater Patron During Movie.,I woman's texting enrages theater patron during movie.
I 'Serial Batterers' Should Be Seen as Dangerous Menace.,I 'serial batterers' should be see as dangerous menace.
I Sisters Resent Woman Dad Plans To Marry.,I sister resent woman dad plan to marry.
I Sisters Resent Woman Dad Plans To Marry.,I sister resent woman dad plan to marry.
Ungrateful Granddaughter May Get Taste of Her Own Medicine.,I ungrateful granddaughter may get taste of her own medicine.
Ungrateful Granddaughter May Get Taste of Her Own Medicine.,I ungrateful granddaughter may get taste of her own medicine.
A Rival's Complaint Triggers Firing on Worker's First Day.,I a rival's complaint trigger fire on worker's first day.
A Rival's Complaint Triggers Firing on Worker's First Day.,I a rival's complaint trigger fire on worker's first day.
A Rival's Complaint Triggers Firing on Worker's First Day.,I a rival's complaint trigger fire on worker's first day.
Brother Should Let Mom in on Cheating Sister's Secret.,I brother should let mom in on cheat sister's secret.
Pet Adoption Campaign Asks for Open Hearts and Homes.,I pet adoption campaign ask for open heart and home.
Pet Adoption Campaign Asks for Open Hearts and Homes.,I pet adoption campaign ask for open heart and home.
Emailed Photo of Ailing Mom Is Reason to Restrict Visitors.,I emailed photo of ail mom be reason to restrict visitor.
I Extended Family Celebration Can Be Richer for the Size.,I extend family celebration can be rich for the size.
I Working Different Shifts Leads to Trouble in Bed.,I work different shift lead to trouble in bed.
"I Favorite Hairdresser Divorces Her Husband, Not His Cousin.","I favorite hairdresser divorce her husband, not his cousin."
"I Favorite Hairdresser Divorces Her Husband, Not His Cousin.","I favorite hairdresser divorce her husband, not his cousin."
Mother Feels Sharp Teeth of Her Thankless Daughters.,Mother feel sharp teeth of her thankless daughter.
I Drug Addiction Affects More People Than Just the Abuser.,I drug addiction affect more people than just the abuser.
I Young Teen Acting Out Needs to Find New Role.,I young teen act out need to find new role.
I Young Teen Acting Out Needs to Find New Role.,I young teen act out need to find new role.
I Proud New Uncle Doesn't Want to Share His Title With Mere Friends.,I proud new uncle doesn't want to share his title with mere friend.
Internet Obsession Threatens to Consume Widower's Life.,I internet obsession threaten to consume widower's life.
I Woman Still Looking for True Love Begins to Doubt She'll Find It.,I woman still look for true love begin to doubt she'll find it.
Husband's Sneak Attacks Could Mean Danger Ahead.,I husband's sneak attack could mean danger ahead.
Husband's Sneak Attacks Could Mean Danger Ahead.,I husband's sneak attack could mean danger ahead.
Husband's Sneak Attacks Could Mean Danger Ahead.,I husband's sneak attack could mean danger ahead.
I Man Sends Widow on a Guilt Trip for Trying to End Affair.,I man send widow on a guilt trip for try to end affair.
I Man Sends Widow on a Guilt Trip for Trying to End Affair.,I man send widow on a guilt trip for try to end affair.
"Friends Push Single Woman to Date, But Offer No Help.","I friend push single woman to date, but offer no help."
Urge to Parent Adult Children Usually Gets Chilly Reception.,I urge to parent adult child usually get chilly reception.
I Program for Compulsive Eaters Gives a New Outlook on Life.,I program for compulsive eater give a new outlook on life.
I Wife Who's Found Skyrockets Wants to Lose Dud Husband.,I wife who's find skyrocket want to lose dud husband.
Bearer of Nephew's Bad News Is Target of Grandma's Anger.,I amarer of nephew's bad news be target of grandma's anger.
